vgen,vk,vm450_550,vm350_550,vm250_550,vm150_550,vm50_550,v50_550,v150_550,v250_550,v350_550,v450_550,v550_550,vm450_450,vm350_450,vm250_450,vm150_450,vm50_450,v50_450,v150_450,v250_450,v350_450,v450_450,v550_450,vm450_350,vm350_350,vm250_350,vm150_350,vm50_350,v50_350,v150_350,v250_350,v350_350,v450_350,v550_350,vm450_250,vm350_250,vm250_250,vm150_250,vm50_250,v50_250,v150_250,v250_250,v350_250,v450_250,v550_250,vm450_150,vm350_150,vm250_150,vm150_150,vm50_150,v50_150,v150_150,v250_150,v350_150,v450_150,v550_150,vm450_50,vm350_50,vm250_50,vm150_50,vm50_50,v50_50,v150_50,v250_50,v350_50,v450_50,v550_50,vm450_m50,vm350_m50,vm250_m50,vm150_m50,vm50_m50,v50_m50,v150_m50,v250_m50,v350_m50,v450_m50,v550_m50,vm450_m150,vm350_m150,vm250_m150,vm150_m150,vm50_m150,v50_m150,v150_m150,v250_m150,v350_m150,v450_m150,v550_m150,vm450_m250,vm350_m250,vm250_m250,vm150_m250,vm50_m250,v50_m250,v150_m250,v250_m250,v350_m250,v450_m250,v550_m250,vm450_m350,vm350_m350,vm250_m350,vm150_m350,vm50_m350,v50_m350,v150_m350,v250_m350,v350_m350,v450_m350,v550_m350,vm450_m450,vm350_m450,vm250_m450,vm150_m450,vm50_m450,v50_m450,v150_m450,v250_m450,v350_m450,v450_m450,v550_m450
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9e-4,0.00112,3.2e-4,0,0,0,0,0,0,0,2.9e-4,0.1053,0.62103,0.10449,2.7e-4,0,0,0,0,0,0,0.00144,0.62074,0,0.61582,0.00129,0,0,0,0,0,0,3.7e-4,0.10631,0.61475,0.10378,2.3e-4,0,0,0,0,0,0,0,2.5e-4,0.00135,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-4,0.00172,3.9e-4,0,0,0,0,0,0,0,5.1e-4,0.15265,0.91261,0.15753,3.9e-4,0,0,0,0,0,0,0.00187,0.93147,0,0.92889,0.00189,0,0,0,0,0,0,4e-4,0.15806,0.93381,0.15975,4.2e-4,0,0,0,0,0,0,0,3.8e-4,0.00197,4.9e-4,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-5,4e-5,2e-5,0,0,0,0,0,0,1e-5,6.3e-4,0.02463,0.07942,0.02445,6e-4,0,0,0,0,0,4e-5,0.0234,1.70374,7.14575,1.70648,0.02413,3e-5,0,0,0,0,1.2e-4,0.07782,7.07058,0,7.14013,0.07788,1.7e-4,0,0,0,0,3e-5,0.02347,1.6764,7.12193,1.69786,0.02484,6e-5,0,0,0,0,0,6.7e-4,0.02371,0.07634,0.02305,6.1e-4,0,0,0,0,0,0,0,5e-5,1.1e-4,2e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-5,1.5e-4,3e-5,0,0,0,0,0,0,0,9.1e-4,0.03696,0.11445,0.03518,9.7e-4,0,0,0,0,0,6e-5,0.03716,2.50606,10.32874,2.48341,0.03572,4e-5,0,0,0,0,1.6e-4,0.11445,10.34201,0,10.35749,0.11587,1.8e-4,0,0,0,0,2e-5,0.03713,2.48572,10.44829,2.50669,0.03774,2e-5,0,0,0,0,0,7.6e-4,0.03676,0.11644,0.03595,0.00093000000000000005,0,0,0,0,0,0,1e-5,4e-5,1.6e-4,2e-5,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-5,0,0,0,0,0,0,0,0,3.4e-4,0.0034,0.00856,0.00357,2.5e-4,0,0,0,0,0,2.6e-4,0.03241,0.63197,1.70566,0.62615,0.02948,2.3e-4,0,0,0,0,0.00394,0.63731,19.46675,63.90369,19.27066,0.61422,0.00363,0,0,0,1e-5,0.00863,1.72196,64.31972,0,63.71845,1.67948,0.00885,1e-5,0,0,1e-5,0.00367,0.62406,19.50043,64.22924,19.46918,0.62606,0.00377,0,0,0,0,2e-4,0.03008,0.62365,1.68192,0.62696,0.03422,3.3e-4,0,0,0,0,0,1.9e-4,0.0033,0.00821,0.00362,2.6e-4,0,0,0,0,0,0,0,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-4,0.0011,5e-4,1e-4,0,0,0,0,0,0,2e-4,0.1366,0.7747,0.1305,6e-4,0,0,0,0,0,0,0.0015,0.7695,0,0.7526,0.0013,0,0,0,0,0,0,3e-4,0.1298,0.7804,0.1258,6e-4,0,0,0,0,0,0,0,3e-4,0.0013,3e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-4,0.0025,4e-4,0,0,0,0,0,0,0,6e-4,0.1902,1.1667,0.1934,5e-4,0,0,0,0,0,0,0.0021,1.1454,0,1.1541,0.0025,0,0,0,0,0,0,7e-4,0.1973,1.1601,0.1965,5e-4,0,0,0,0,0,0,0,7e-4,0.0025,3e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-4,1e-4,0,0,0,0,0,0,0,0,9e-4,0.0429,0.1243,0.0392,9e-4,0,0,0,0,0,0,0.0368,2.5967,10.9983,2.631,0.0361,2e-4,0,0,0,0,1e-4,0.1261,10.801,0,10.9529,0.1153,4e-4,0,0,0,0,0,0.0356,2.6175,10.9655,2.6715,0.0351,0,0,0,0,0,0,0.0011,0.0402,0.1213,0.0354,0.001,0,0,0,0,0,0,0,0,3e-4,1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,4e-4,0,0,0,0,0,0,0,0,0.0012,0.0612,0.1976,0.0553,0.0021,0,0,0,0,0,0,0.059,3.9483,15.9834,3.6975,0.0537,0,0,0,0,0,1e-4,0.1999,16.1901,0,15.6491,0.1772,5e-4,0,0,0,0,0,0.0584,3.9099,16.0723,3.7606,0.0533,1e-4,0,0,0,0,0,0.0013,0.0615,0.1865,0.0599,6e-4,0,0,0,0,0,0,0,0,2e-4,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,0,0,0,0,0,0,0,0,7e-4,0.0069,0.0159,0.0062,5e-4,0,0,0,0,0,2e-4,0.0587,1.1752,3.3307,1.2494,0.0616,4e-4,0,0,0,0,0.0074,1.2258,37.4967,123.7723,37.9314,1.203,0.005,0,0,0,1e-4,0.0169,3.2547,122.2495,0,122.4055,3.3236,0.0134,0,0,0,0,0.0065,1.1734,36.6779,120.6363,37.1431,1.2259,0.0105,0,0,0,0,4e-4,0.053900000000000003,1.1752,3.3358,1.2651,0.0658,2e-4,0,0,0,0,0,5e-4,0.008,0.0165,0.0081,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
